id,title,primaryProductFamily,industry,scenario,searchIntent,targetKeywords,newsAngle,requiredSources,internalLinks,priority,similarityKey,status
"TOPIC-21","Rock Drill Tool Replacement Planning: What to Confirm Before Ordering","Drilling Tool (ZD-89)","road construction","tool replacement","commercial investigation","rock drill tools | drilling tool replacement | shank compatibility","Use operational planning angle rather than supplier catalog claims.","One current primary or government source within the 90-day window | One independent current source within the 90-day window","/products/drilling-consumables/tool-zd-89-163 | /news | /products | /request-a-quote","medium","drilling-consumables:road-construction:tool-replacement","research-pending"
"TOPIC-22","How Flushing Method and Formation Affect Drill-Tool Wear Review","Drilling Tool (YT27)","geotechnical investigation","tool wear planning","informational","drill bit wear | drilling flushing | formation drilling tools","Require verified operating context before article drafting.","One current primary or government source within the 90-day window | One independent current source within the 90-day window","/products/drilling-consumables/tool-yt27-184 | /news | /products | /request-a-quote","medium","drilling-consumables:geotechnical-investigation:tool-wear-planning","research-pending"
"TOPIC-23","Preparing a DTH Tooling List for a Remote Drilling Campaign","Drilling Tool (YT29A)","remote infrastructure","consumables planning","commercial investigation","DTH tooling list | remote drilling consumables | drilling campaign planning","Use current mobilisation news only as contextual input.","One current primary or government source within the 90-day window | One independent current source within the 90-day window","/products/drilling-consumables/tool-yt29a-185 | /news | /products | /request-a-quote","medium","drilling-consumables:remote-infrastructure:consumables-planning","research-pending"
"TOPIC-24","Thread, Shank and Interface Checks for Drilling-Tool Procurement","Drilling Tool (YT28)","construction sites","interface verification","informational","drilling tool thread | rock drill shank | tool compatibility","Prioritize safety and traceability questions.","One current primary or government source within the 90-day window | One independent current source within the 90-day window","/products/drilling-consumables/tool-yt28-193 | /news | /products | /request-a-quote","medium","drilling-consumables:construction-sites:interface-verification","research-pending"
"TOPIC-25","Solar Mobile Light Towers for Night Roadwork: Selection Factors and Operating Conditions","Solar Mobile Light Tower (UST600L)","roadworks","night work lighting","commercial investigation","solar mobile light tower | night roadwork lighting | mobile lighting selection","Monitor mobile energy and worksite-lighting developments.","One current primary or government source within the 90-day window | One independent current source within the 90-day window","/products/mobile-lighting-systems/tower-ust600l-090 | /news | /products | /request-a-quote","low","mobile-lighting-systems:roadworks:night-work-lighting","research-pending"
"TOPIC-26","How Hybrid Light Towers Support Temporary Mining and Construction Sites","Solar Surveillance Mobile Light Tower (UST1200)","mining and construction","temporary site lighting","commercial investigation","hybrid light tower | mining site lighting | construction lighting tower","Use recent worksite-power developments without transferring supplier features.","One current primary or government source within the 90-day window | One independent current source within the 90-day window","/products/mobile-lighting-systems/tower-ust1200-099 | /news | /products | /request-a-quote","low","mobile-lighting-systems:mining-and-construction:temporary-site-lighting","research-pending"
"TOPIC-27","Solar Security Towers for Remote Sites: Energy, Communications and Placement Questions","Mobile Light Tower (UGT-10QL)","remote site security","off-grid monitoring","commercial investigation","solar security tower | remote site CCTV trailer | off grid site monitoring","Use two recent sources on mobile security and site power before drafting.","NEWS-RING-2026-07-08 | NEWS-HONDA-2026-06-15","/products/mobile-lighting-systems/tower-ugt-10ql-102 | /news | /products | /request-a-quote","low","mobile-lighting-systems:remote-site-security:off-grid-monitoring","research-ready"
"TOPIC-28","Battery Capacity, Lighting Load and Night-Time Planning for Mobile Towers","Diesel Mobile Light Tower (UGT-1600)","construction sites","night-shift lighting","informational","battery mobile light tower | lighting load | night time site lighting","Use recent battery-system developments as context only.","One current primary or government source within the 90-day window | One independent current source within the 90-day window","/products/mobile-lighting-systems/tower-ugt-1600-103 | /news | /products | /request-a-quote","low","mobile-lighting-systems:construction-sites:night-shift-lighting","research-pending"
"TOPIC-29","Mast Height, Trailer Access and Deployment Planning for Remote Light Towers","Diesel Mobile Light Tower (GDQ5A-4R)","emergency response","temporary deployment","informational","mobile light tower mast height | light tower trailer | emergency lighting deployment","Track emergency or remote-site logistics updates.","One current primary or government source within the 90-day window | One independent current source within the 90-day window","/products/mobile-lighting-systems/tower-gdq5a-4r-104 | /news | /products | /request-a-quote","low","mobile-lighting-systems:emergency-response:temporary-deployment","research-pending"
"TOPIC-30","CCTV and Lighting Integration for Temporary Worksite Security","Diesel Mobile Light Tower (UGT4000PLED)","construction sites","site security","commercial investigation","CCTV light tower | temporary site security | mobile surveillance tower","Use current security-tower news plus independent construction context.","One current primary or government source within the 90-day window | One independent current source within the 90-day window","/products/mobile-lighting-systems/tower-ugt4000pled-106 | /news | /products | /request-a-quote","low","mobile-lighting-systems:construction-sites:site-security","research-pending"
"TOPIC-31","How Suspended Magnetic Separators Protect Crushers in Aggregate Processing","Permanent Magnetic Separator (ZD15LV-8)","aggregate and quarrying","conveyor protection","commercial investigation","suspended magnetic separator | crusher protection | aggregate tramp iron removal","Monitor aggregate processing and equipment-protection developments.","One current primary or government source within the 90-day window | One independent current source within the 90-day window","/products/magnetic-separators/mag-zd15lv-8-124 | /news | /products | /request-a-quote","low","magnetic-separators:aggregate-and-quarrying:conveyor-protection","research-pending"
"TOPIC-32","Dry Drum vs Wet Drum Magnetic Separation in Mineral Processing","Permanent Magnetic Separator (ZD15LV-8)","mineral processing","feed-condition selection","informational","dry drum magnetic separator | wet drum magnetic separator | mineral processing separation","Use process context; do not infer recovery data.","One current primary or government source within the 90-day window | One independent current source within the 90-day window","/products/magnetic-separators/mag-zd15lv-8-124 | /news | /products | /request-a-quote","low","magnetic-separators:mineral-processing:feed-condition-selection","research-pending"
"TOPIC-33","How Overband Magnets Support Ferrous Removal in Recycling Lines","Permanent Magnetic Separator (ZD15LV-8)","recycling sorting","conveyor ferrous removal","commercial investigation","overband magnet | recycling ferrous removal | self cleaning magnetic separator","Use two independent recent recycling and separation developments before drafting.","One current primary or government source within the 90-day window | One independent current source within the 90-day window","/products/magnetic-separators/mag-zd15lv-8-124 | /news | /products | /request-a-quote","low","magnetic-separators:recycling-sorting:conveyor-ferrous-removal","research-pending"
"TOPIC-34","What Recycling Projects Reveal About Material Traceability Before Separation","Permanent Magnetic Separator (ZD15LV-8)","recycling sorting","feedstock traceability","informational","magnet recycling traceability | recycling sorting equipment | material stream review","Use the CoTec and Metal Tech News candidates as sector context only.","NEWS-COTEC-2026-06-22 | NEWS-GEOMEGA-2026-06-04","/products/magnetic-separators/mag-zd15lv-8-124 | /news | /products | /request-a-quote","low","magnetic-separators:recycling-sorting:feedstock-traceability","research-ready"
"TOPIC-35","Selecting Manual-Clean or Self-Cleaning Magnetic Separation for Bulk Handling","Permanent Magnetic Separator (ZD15LV-8)","cement and bulk handling","cleaning-duty selection","commercial investigation","self cleaning magnetic separator | manual clean magnet | bulk material handling","Track bulk-handling operations and safety developments.","One current primary or government source within the 90-day window | One independent current source within the 90-day window","/products/magnetic-separators/mag-zd15lv-8-124 | /news | /products | /request-a-quote","low","magnetic-separators:cement-and-bulk-handling:cleaning-duty-selection","research-pending"
"TOPIC-36","Magnetic Separation Questions for Scrap and Waste-Processing Feed Streams","Permanent Magnetic Separator (ZD15LV-8)","waste processing","mixed feed sorting","informational","magnetic separation waste processing | scrap sorting equipment | tramp metal removal","Use independent recycling developments and verified material-stream context.","One current primary or government source within the 90-day window | One independent current source within the 90-day window","/products/magnetic-separators/mag-zd15lv-8-124 | /news | /products | /request-a-quote","low","magnetic-separators:waste-processing:mixed-feed-sorting","research-pending"
